cell_id,dataset,celltype,leiden,leiden_named,n_proteins_identified,intensity_max,intensity_min_detected,intensity_median,dynamic_range_log10
[60] DCT_1cell_WISHDIA_P1_0064.htrms.PG.Quantity,dct758,ProLIF,0,ProLIF,729,16902.189453125,55.83824157714844,215.46177673339844,2.481011232011941
[334] DCT_1cell_WISHDIA_P1_0338.htrms.PG.Quantity,dct758,ProLIF,13,DCT1,653,21517.142578125,50.054222106933594,196.353271484375,2.6333438812305685
[113] DCT_1cell_WISHDIA_P1_0117.htrms.PG.Quantity,dct758,DCT1,10,ProLIF,589,44357.890625,59.953983306884766,247.06356811523438,2.869152843065717
[721] DCT_1cell_WISHDIA_P2_0346.htrms.PG.Quantity,dct758,DCT1,26,DCT1,935,22808.724609375,36.931331634521484,169.55032348632812,2.7907060342959413
[142] DCT_1cell_WISHDIA_P1_0146.htrms.PG.Quantity,dct758,ProLIF,8,ProLIF,951,30265.48046875,37.1759033203125,169.2178192138672,2.9106860427434853
[228] DCT_1cell_WISHDIA_P1_0232.htrms.PG.Quantity,dct758,ProLIF,20,ProLIF,803,25566.9140625,41.290931701660156,176.133056640625,2.791823629115758
[433] DCT_1cell_WISHDIA_P2_0058.htrms.PG.Quantity,dct758,DCT1,26,DCT1,942,21918.10546875,33.773658752441406,133.23834991455078,2.81222490142866
[628] DCT_1cell_WISHDIA_P2_0253.htrms.PG.Quantity,dct758,ProLIF,25,Unknown,924,24319.9375,36.78997039794922,167.50826263427734,2.8202330161172977
[563] DCT_1cell_WISHDIA_P2_0188.htrms.PG.Quantity,dct758,ProLIF,30,DCT1,733,17374.3828125,47.93214797973633,198.78158569335938,2.5592824947270074
[24] DCT_1cell_WISHDIA_P1_0027.htrms.PG.Quantity,dct758,DCT1,4,DCT1,137,60606.21484375,202.33958435058594,1162.9007568359375,2.476436307506429
[10] DCT_1cell_WISHDIA_P1_0013.htrms.PG.Quantity,dct758,DCT1,1,DCT2,592,27172.220703125,70.77691650390625,266.6211242675781,2.584233495375595
[264] DCT_1cell_WISHDIA_P1_0268.htrms.PG.Quantity,dct758,ProLIF,8,ProLIF,919,21916.01953125,40.85057830810547,179.21588134765625,2.729563469724936
[404] DCT_1cell_WISHDIA_P2_0029.htrms.PG.Quantity,dct758,DCT1,5,DCT1,505,45389.6484375,55.1502571105957,252.69454956054688,2.9154092774943132
[490] DCT_1cell_WISHDIA_P2_0115.htrms.PG.Quantity,dct758,ProLIF,23,DCT2,1117,18960.958984375,30.681625366210938,123.22089385986328,2.790981936039693
